year,day_of_year,temperature,humidity,precipitation,wind_speed,irradiance,month,temperature_lag1,temperature_lag3,temperature_lag7,temperature_roll3,humidity_roll3,precipitation_roll7,target
2020,8,24.54,85.94,23.25,5.65,14.69,1,26.06,24.62,25.97,25.356666666666666,84.32666666666667,49.54,26.04
2020,9,26.04,83.84,0.14,2.85,28.47,1,24.54,25.47,25.07,25.546666666666667,85.21333333333334,39.32,26.29
2020,10,26.29,90.91,6.33,4.37,22.46,1,26.04,26.06,24.6,25.62333333333333,86.89666666666666,42.16,26.21
2020,11,26.21,91.71,25.27,6.02,16.31,1,26.29,24.54,24.51,26.180000000000003,88.82,63.519999999999996,25.29
2020,12,25.29,78.31,1.98,6.09,23.39,1,26.21,26.04,24.62,25.929999999999996,86.97666666666667,64.84,24.88
2020,13,24.88,71.29,0.08,3.34,30.23,1,25.29,26.29,25.47,25.459999999999997,80.43666666666667,64.76,25.34
2020,14,25.34,76.56,0.61,4.37,27.46,1,24.88,26.21,26.06,25.169999999999998,75.38666666666667,57.66,26.01
2020,15,26.01,79.71,0.87,6.67,28.49,1,25.34,25.29,24.54,25.41,75.85333333333334,35.28,25.21
2020,16,25.21,83.03,8.6,8.45,13.13,1,26.01,24.88,26.04,25.52,79.76666666666667,43.739999999999995,23.07
2020,17,23.07,68.73,0.04,6.11,18.7,1,25.21,25.34,26.29,24.763333333333332,77.15666666666667,37.449999999999996,23.33
2020,18,23.33,68.48,0.12,3.86,18.11,1,23.07,26.01,26.21,23.87,73.41333333333334,12.299999999999999,24.06
2020,19,24.06,75.67,0.21,4.39,23.96,1,23.33,25.21,25.29,23.486666666666665,70.96000000000001,10.529999999999998,24.73
2020,20,24.73,78.59,0.4,5.06,25.56,1,24.06,23.07,24.88,24.040000000000003,74.24666666666667,10.849999999999998,24.54
2020,21,24.54,74.35,0.23,4.9,24.56,1,24.73,23.33,25.34,24.44333333333333,76.20333333333333,10.469999999999999,24.51
2020,22,24.51,77.84,2.65,4.97,6.57,1,24.54,24.06,26.01,24.593333333333334,76.92666666666666,12.25,24.36
2020,23,24.36,81.61,13.43,5.98,11.18,1,24.51,24.73,25.21,24.47,77.93333333333334,17.08,24.46
2020,24,24.46,80.44,3.18,7.55,23.52,1,24.36,24.54,23.07,24.44333333333333,79.96333333333332,20.220000000000002,23.94
2020,25,23.94,73.24,0.17,3.29,30.19,1,24.46,24.51,23.33,24.25333333333333,78.42999999999999,20.27,25.29
2020,26,25.29,80.53,0.03,4.95,29.8,1,23.94,24.36,24.06,24.563333333333333,78.07000000000001,20.09,25.63
2020,27,25.63,83.07,0.98,4.5,24.35,1,25.29,24.46,24.73,24.953333333333333,78.94666666666666,20.67,24.81
2020,28,24.81,87.51,2.47,3.4,18.42,1,25.63,23.94,24.54,25.24333333333333,83.70333333333333,22.91,25.66
2020,29,25.66,85.92,2.88,5.0,10.46,1,24.81,25.29,24.51,25.366666666666664,85.5,23.14,26.02
2020,30,26.02,88.9,4.32,4.33,15.34,1,25.66,25.63,24.36,25.49666666666667,87.44333333333334,14.030000000000001,25.73
2020,31,25.73,85.29,3.8,2.37,23.92,1,26.02,24.81,24.46,25.80333333333333,86.70333333333333,14.65,24.98
2020,32,24.98,85.76,0.98,4.48,25.9,2,25.73,25.66,23.94,25.576666666666668,86.65000000000002,15.46,24.83
2020,33,24.83,80.26,2.01,3.98,14.32,2,24.98,26.02,25.29,25.179999999999996,83.77,17.439999999999998,24.89
2020,34,24.89,79.99,2.39,5.25,23.13,2,24.83,25.73,25.63,24.899999999999995,82.00333333333333,18.849999999999998,25.42
2020,35,25.42,81.56,7.8,6.49,11.26,2,24.89,24.98,24.81,25.046666666666667,80.60333333333334,24.18,25.72
2020,36,25.72,83.6,6.2,6.48,18.19,2,25.42,24.83,25.66,25.343333333333334,81.71666666666667,27.5,26.04
2020,37,26.04,84.71,14.04,6.05,13.56,2,25.72,24.89,26.02,25.72666666666667,83.29,37.22,26.09
2020,38,26.09,83.94,12.88,7.01,19.68,2,26.04,25.42,25.73,25.95,84.08333333333333,46.300000000000004,26.29
2020,39,26.29,83.05,3.86,6.39,20.78,2,26.09,25.72,24.98,26.14,83.89999999999999,49.18,25.6
2020,40,25.6,83.59,8.42,8.02,10.67,2,26.29,26.04,24.83,25.993333333333336,83.52666666666667,55.59,24.07
2020,41,24.07,69.25,0.28,5.91,10.17,2,25.6,26.09,24.89,25.319999999999997,78.63,53.48,24.33
2020,42,24.33,67.02,1.13,4.22,23.27,2,24.07,26.29,25.42,24.666666666666668,73.28666666666668,46.809999999999995,24.53
2020,43,24.53,69.68,3.13,4.89,20.8,2,24.33,25.6,25.72,24.31,68.64999999999999,43.74,24.74
2020,44,24.74,72.54,1.17,4.48,24.94,2,24.53,24.07,26.04,24.53333333333333,69.74666666666667,30.87,24.7
2020,45,24.7,75.74,0.21,4.31,24.68,2,24.74,24.33,26.09,24.656666666666666,72.65333333333335,18.200000000000003,25.47
2020,46,25.47,82.86,0.05,5.54,23.18,2,24.7,24.53,26.29,24.97,77.04666666666667,14.39,25.96
2020,47,25.96,83.42,0.04,4.51,22.75,2,25.47,24.74,25.6,25.376666666666665,80.67333333333333,6.01,26.22
2020,48,26.22,87.47,0.07,3.92,24.52,2,25.96,24.7,24.07,25.88333333333333,84.58333333333333,5.8,26.65
2020,49,26.65,92.08,1.42,5.7,23.09,2,26.22,25.47,24.33,26.276666666666667,87.65666666666668,6.09,26.31
2020,50,26.31,84.68,1.77,5.13,16.17,2,26.65,25.96,24.53,26.393333333333334,88.07666666666667,4.73,25.94
2020,51,25.94,79.6,0.99,3.85,22.22,2,26.31,26.22,24.74,26.3,85.45333333333333,4.55,24.18
2020,52,24.18,75.3,0.55,7.36,7.44,2,25.94,26.65,24.7,25.476666666666663,79.86,4.890000000000001,22.7
2020,53,22.7,71.6,0.08,8.52,27.98,2,24.18,26.31,25.47,24.27333333333333,75.5,4.92,23.78
2020,54,23.78,62.17,0.04,3.35,23.79,2,22.7,25.94,25.96,23.55333333333333,69.69,4.92,24.82
2020,55,24.82,69.44,0.02,5.4,23.43,2,23.78,24.18,26.22,23.766666666666666,67.73666666666666,4.87,25.0
2020,56,25.0,86.96,8.57,5.7,10.72,2,24.82,22.7,26.65,24.53333333333333,72.85666666666667,12.02,24.25
2020,57,24.25,83.96,21.85,9.22,10.0,2,25.0,23.78,26.31,24.689999999999998,80.11999999999999,32.1,23.06
2020,58,23.06,70.36,0.01,6.06,26.7,2,24.25,24.82,25.94,24.103333333333335,80.42666666666666,31.12,23.19
2020,59,23.19,68.6,0.01,2.43,25.86,2,23.06,25.0,24.18,23.5,74.30666666666667,30.580000000000002,23.5
2020,60,23.5,71.59,0.05,3.04,24.34,2,23.19,24.25,22.7,23.25,70.18333333333334,30.55,23.75
2020,61,23.75,73.5,0.44,4.79,23.45,3,23.5,23.06,23.78,23.48,71.23,30.950000000000003,23.62
2020,62,23.62,79.89,4.79,6.02,15.36,3,23.75,23.19,24.82,23.623333333333335,74.99333333333334,35.72,23.46
